symbol,bucket_low,bucket_high,n,pf,sharpe,max_dd_pct,old_mult,new_mult,delta
OPUSDT,2.0,3.0,1073,3.27,0.3295,1.428,1.2,1.2,0.0
OPUSDT,3.0,5.0,989,2.822,0.2753,1.694,1.2,1.2,0.0
OPUSDT,5.0,999.0,215,5.421,0.439,1.365,1.5,1.5,0.0
PYTHUSDT,0.0,1.0,140,1.899,0.2281,3.325,0.5,0.5,0.0
PYTHUSDT,1.0,1.5,600,3.677,0.3175,2.031,1.2,1.2,0.0
PYTHUSDT,1.5,2.0,670,3.819,0.3459,2.055,1.5,1.5,0.0
PYTHUSDT,2.0,3.0,1409,3.373,0.3149,1.451,1.2,1.2,0.0
PYTHUSDT,3.0,5.0,863,4.289,0.3789,1.318,1.5,1.5,0.0
PYTHUSDT,5.0,999.0,388,7.041,0.3974,0.955,1.5,1.5,0.0
RENDERUSDT,0.0,1.0,243,2.152,0.2369,4.505,0.8,0.8,0.0
RENDERUSDT,1.0,1.5,500,1.849,0.1838,3.796,0.5,0.5,0.0
RENDERUSDT,1.5,2.0,752,2.601,0.2625,2.845,1.0,1.0,0.0
RENDERUSDT,2.0,3.0,998,3.209,0.3407,1.324,1.2,1.2,0.0
RENDERUSDT,3.0,5.0,772,5.019,0.4109,1.143,1.5,1.5,0.0
RENDERUSDT,5.0,999.0,261,7.198,0.3526,1.096,1.5,1.5,0.0
SEIUSDT,0.0,1.0,120,2.33,0.2662,3.393,0.8,0.8,0.0
SEIUSDT,1.0,1.5,500,1.833,0.2063,3.902,0.5,0.5,0.0
SEIUSDT,1.5,2.0,545,2.271,0.233,2.686,0.8,0.8,0.0
SEIUSDT,2.0,3.0,1050,4.057,0.3403,1.022,1.5,1.5,0.0
SEIUSDT,3.0,5.0,1038,4.022,0.3822,1.211,1.5,1.5,0.0
SEIUSDT,5.0,999.0,493,6.835,0.4146,1.064,1.5,1.5,0.0
SOLUSDT,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SOLUSDT,1.0,1.5,561,1.409,0.132,4.969,0.5,0.5,0.0
SOLUSDT,1.5,2.0,767,1.797,0.1846,3.032,0.8,0.8,0.0
SOLUSDT,2.0,3.0,1009,2.374,0.2666,2.737,1.0,1.0,0.0
SOLUSDT,3.0,5.0,698,4.371,0.3674,1.136,1.5,1.5,0.0
SOLUSDT,5.0,999.0,238,4.046,0.3423,1.788,1.5,1.5,0.0
STRKUSDT,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
STRKUSDT,1.0,1.5,251,2.286,0.2583,2.996,0.8,0.8,0.0
STRKUSDT,1.5,2.0,636,2.375,0.2335,3.038,0.8,0.8,0.0
STRKUSDT,2.0,3.0,1122,3.266,0.309,1.444,1.2,1.2,0.0
STRKUSDT,3.0,5.0,994,3.422,0.3626,1.669,1.5,1.5,0.0
STRKUSDT,5.0,999.0,619,6.74,0.3801,1.193,1.5,1.5,0.0
SUIUSDT,1.0,1.5,809,2.045,0.1699,2.794,0.8,0.8,0.0
SUIUSDT,1.5,2.0,720,2.215,0.248,1.808,1.0,1.0,0.0
SUIUSDT,2.0,3.0,1117,2.126,0.2234,2.276,1.0,1.0,0.0
SUIUSDT,3.0,5.0,936,2.887,0.2993,2.24,1.2,1.2,0.0
SUIUSDT,5.0,999.0,409,6.321,0.3822,1.044,1.5,1.5,0.0
TIAUSDT,0.0,1.0,44,3.054,0.3182,3.251,1.0,1.0,0.0
TIAUSDT,1.0,1.5,317,2.091,0.2453,2.816,0.8,0.8,0.0
TIAUSDT,1.5,2.0,538,3.178,0.3502,1.868,1.2,1.2,0.0
TIAUSDT,2.0,3.0,1208,3.099,0.3201,1.464,1.2,1.2,0.0
TIAUSDT,3.0,5.0,1075,3.996,0.3774,1.328,1.5,1.5,0.0
TIAUSDT,5.0,999.0,800,6.544,0.436,0.847,1.5,1.5,0.0
UNIUSDT,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
UNIUSDT,1.0,1.5,1033,1.653,0.1542,4.891,0.5,0.5,0.0
UNIUSDT,1.5,2.0,921,2.463,0.2575,1.746,1.0,1.0,0.0
UNIUSDT,2.0,3.0,1196,3.422,0.3386,1.849,1.2,1.2,0.0
UNIUSDT,3.0,5.0,612,2.823,0.3415,1.914,1.2,1.2,0.0
UNIUSDT,5.0,999.0,299,3.509,0.3188,2.988,1.2,1.2,0.0
XRPUSDT,0.0,1.0,1061,0.972,-0.0134,27.159,0.0,0.0,0.0
XRPUSDT,1.0,1.5,945,1.593,0.1528,5.166,0.5,0.5,0.0
XRPUSDT,1.5,2.0,569,1.289,0.0825,9.536,0.0,0.0,0.0
XRPUSDT,2.0,3.0,712,3.016,0.2687,3.611,1.0,1.0,0.0
XRPUSDT,3.0,5.0,429,3.806,0.347,2.182,1.2,1.2,0.0
XRPUSDT,5.0,999.0,159,3.716,0.4021,2.696,1.2,1.2,0.0
