[08:51:44]   GMXUSDT: 1000000 bar
[08:53:01]   GMXUSDT: 1050000 bar
[08:54:17]   GMXUSDT: 1100000 bar
[08:55:28]   GMXUSDT: 1150000 bar
[08:56:30]   GMXUSDT: 1200000 bar
[08:57:27]   GMXUSDT: 1250000 bar
[08:58:25]   GMXUSDT: 1300000 bar
[08:58:41]   GMXUSDT: 1313000 bar indirildi
[08:58:54]   GMXUSDT: feather kaydedildi (60.7 MB)
[08:58:54] === DYDXUSDT ===
[08:59:54]   DYDXUSDT: 50000 bar
[09:00:54]   DYDXUSDT: 100000 bar
[09:01:53]   DYDXUSDT: 150000 bar
[09:02:50]   DYDXUSDT: 200000 bar
[09:03:49]   DYDXUSDT: 250000 bar
[09:04:47]   DYDXUSDT: 300000 bar
[09:05:46]   DYDXUSDT: 350000 bar
[09:06:45]   DYDXUSDT: 400000 bar
[09:07:43]   DYDXUSDT: 450000 bar
[09:08:41]   DYDXUSDT: 500000 bar
[09:09:44]   DYDXUSDT: 550000 bar
[09:10:42]   DYDXUSDT: 600000 bar
[09:11:40]   DYDXUSDT: 650000 bar
[09:12:38]   DYDXUSDT: 700000 bar
[09:13:35]   DYDXUSDT: 750000 bar
[09:14:34]   DYDXUSDT: 800000 bar
[09:15:40]   DYDXUSDT: 850000 bar
[09:16:38]   DYDXUSDT: 900000 bar
[09:17:37]   DYDXUSDT: 950000 bar
[09:18:36]   DYDXUSDT: 1000000 bar
[09:19:34]   DYDXUSDT: 1050000 bar
[09:20:32]   DYDXUSDT: 1100000 bar
[09:21:29]   DYDXUSDT: 1150000 bar
[09:22:26]   DYDXUSDT: 1200000 bar
[09:23:24]   DYDXUSDT: 1250000 bar
[09:24:28]   DYDXUSDT: 1300000 bar
[09:24:45]   DYDXUSDT: 1313000 bar indirildi
[09:24:59]   DYDXUSDT: feather kaydedildi (70.6 MB)
[09:24:59] === LDOUSDT ===
[09:25:58]   LDOUSDT: 50000 bar
[09:26:55]   LDOUSDT: 100000 bar
[09:27:52]   LDOUSDT: 150000 bar
[09:28:51]   LDOUSDT: 200000 bar
[09:29:49]   LDOUSDT: 250000 bar
[09:30:48]   LDOUSDT: 300000 bar
[09:31:47]   LDOUSDT: 350000 bar
[09:32:47]   LDOUSDT: 400000 bar
[09:33:49]   LDOUSDT: 450000 bar
[09:34:59]   LDOUSDT: 500000 bar
[09:35:57]   LDOUSDT: 550000 bar
[09:36:55]   LDOUSDT: 600000 bar
[09:37:53]   LDOUSDT: 650000 bar
[09:38:51]   LDOUSDT: 700000 bar
[09:39:51]   LDOUSDT: 750000 bar
[09:40:48]   LDOUSDT: 800000 bar
[09:41:50]   LDOUSDT: 850000 bar
[09:42:52]   LDOUSDT: 900000 bar
[09:43:53]   LDOUSDT: 950000 bar
[09:44:53]   LDOUSDT: 1000000 bar
[09:46:02]   LDOUSDT: 1050000 bar
[09:47:01]   LDOUSDT: 1100000 bar
[09:48:01]   LDOUSDT: 1150000 bar
[09:49:00]   LDOUSDT: 1200000 bar
[09:50:01]   LDOUSDT: 1250000 bar
[09:50:58]   LDOUSDT: 1300000 bar
[09:51:14]   LDOUSDT: 1313000 bar indirildi
[09:51:29]   LDOUSDT: feather kaydedildi (70.1 MB)
[09:51:29]
TAMAMLANDI!
