mult,sym,min_fvg,trades,pnl,wr,mdd,pf
0.08,ETHUSDT,0.9255,470,6758.21,42.5531914893617,3.080284762550479,3.6567662899188345
0.08,LINKUSDT,0.0046,543,3894.2599999999998,36.095764272559855,4.687198442943362,3.119335108581203
0.08,NEARUSDT,0.0007,811,20473.63,49.56843403205919,2.2491626978518253,4.33263926250818
0.08,SOLUSDT,0.0435,402,539.84,28.855721393034827,14.686892556313595,2.739666224580018
0.08,SUIUSDT,0.0006,615,10212.68,41.6260162601626,3.9240962889738045,4.189835630036202
0.08,XRPUSDT,0.0007,610,12608.85,44.75409836065574,3.557538423024315,4.08305945262467
0.1,ADAUSDT,0.0002,604,10294.9,40.2317880794702,3.9324717340349,4.2032772190038425
0.1,APTUSDT,0.0008,648,18351.47,53.39506172839506,1.4757131714764757,4.410246473682095
0.1,ATOMUSDT,0.0011,747,26044.69,48.32663989290496,2.9217945320477137,5.961431077742891
0.1,AVAXUSDT,0.0058,612,12264.96,43.13725490196079,2.49698965001851,4.724456958970234
0.1,BNBUSDT,0.2521,609,14622.72,45.97701149425287,3.197054834334432,4.379133098355153
0.1,BTCUSDT,27.6429,546,12334.71,42.67399267399267,3.379022269019866,4.5579066943847835
0.1,DOTUSDT,0.001,614,15488.63,45.60260586319218,3.326295451602924,5.014084975140252
0.1,ETHUSDT,1.1569,464,6866.93,42.456896551724135,2.6952603846136585,3.6757545862989724
0.1,LINKUSDT,0.0058,538,3984.2599999999998,36.43122676579926,4.652952541767468,3.129494350168818
0.1,NEARUSDT,0.0009,804,20793.55,50.0,2.236223729739489,4.36999222092571
0.1,SOLUSDT,0.0544,407,885.63,29.72972972972973,14.004872181961744,2.793547087910858
0.1,SUIUSDT,0.0008,628,10709.32,42.038216560509554,4.187008549871472,4.159577127204247
0.1,XRPUSDT,0.0008,617,12694.44,44.570502431118314,3.8555645956827984,4.106022337916611
0.12,ADAUSDT,0.0002,597,8669.09,39.028475711892796,4.5695664486993675,3.90250158874828
0.12,APTUSDT,0.001,644,17662.15,53.41614906832298,1.4005622873589407,4.3387393314031995
0.12,ATOMUSDT,0.0014,754,25977.83,48.01061007957559,3.4777444001949367,5.89674086750059
0.12,AVAXUSDT,0.0069,613,12304.69,43.2300163132137,2.5154589145102535,4.724785499413776
0.12,BNBUSDT,0.3025,630,15905.77,46.19047619047619,2.2610473359680823,4.590404726796406
0.12,BTCUSDT,33.1715,541,12750.8,42.513863216266174,3.31163607401432,4.703436430472809
0.12,DOTUSDT,0.0012,605,13921.51,44.95867768595041,3.326295451602924,4.691122411441696
0.12,ETHUSDT,1.3883,452,6601.36,40.707964601769916,3.140880740880737,3.808723097347392
0.12,LINKUSDT,0.0069,533,3809.28,36.210131332082554,4.731689839695805,3.1030788561514364
0.12,NEARUSDT,0.0011,793,18627.05,48.17150063051702,2.2403181337167513,4.267987829207651
0.12,SOLUSDT,0.0653,413,1642.74,29.055690072639223,13.998652360075726,3.2469862423039126
0.12,SUIUSDT,0.0009,625,10588.960000000001,42.08,4.221350747812299,4.071474705526745
0.12,XRPUSDT,0.001,618,12357.26,44.336569579288025,3.8555645956827984,4.066814625201248
0.14,ADAUSDT,0.0002,591,9047.59,39.93231810490694,4.683889212468566,3.9267131985438537
0.14,APTUSDT,0.0011,641,15439.69,52.418096723868956,1.858653773983163,3.93680785819255
0.14,ATOMUSDT,0.0016,741,25362.14,47.50337381916329,3.731014594237716,5.96745261652798
